,N,Time,db,scheduler
0,10,0.5251798629760742,Mg-Zn.tdb,muliprocessing
1,10,0.4541349411010742,Mg-Zn.tdb,muliprocessing
2,20,0.5890750885009766,Mg-Zn.tdb,muliprocessing
3,20,0.5799560546875,Mg-Zn.tdb,muliprocessing
4,50,1.0344641208648682,Mg-Zn.tdb,muliprocessing
5,50,1.0886330604553223,Mg-Zn.tdb,muliprocessing
6,100,1.7540829181671143,Mg-Zn.tdb,muliprocessing
7,100,1.777005910873413,Mg-Zn.tdb,muliprocessing
8,200,3.4293110370635986,Mg-Zn.tdb,muliprocessing
9,200,3.250290870666504,Mg-Zn.tdb,muliprocessing
10,500,7.824560880661011,Mg-Zn.tdb,muliprocessing
11,500,7.9311439990997314,Mg-Zn.tdb,muliprocessing
12,1000,15.32877802848816,Mg-Zn.tdb,muliprocessing
13,1000,14.90959906578064,Mg-Zn.tdb,muliprocessing
14,2000,31.17452311515808,Mg-Zn.tdb,muliprocessing
15,2000,32.1923189163208,Mg-Zn.tdb,muliprocessing
16,5000,82.99113011360168,Mg-Zn.tdb,muliprocessing
17,5000,82.5157368183136,Mg-Zn.tdb,muliprocessing
18,10000,183.63990378379822,Mg-Zn.tdb,muliprocessing
19,10000,184.59478998184204,Mg-Zn.tdb,muliprocessing
20,10,0.22296500205993652,Mg-Zn.tdb,sync
21,10,0.19837307929992676,Mg-Zn.tdb,sync
22,20,0.2526099681854248,Mg-Zn.tdb,sync
23,20,0.2643139362335205,Mg-Zn.tdb,sync
24,50,0.4673929214477539,Mg-Zn.tdb,sync
25,50,0.48659396171569824,Mg-Zn.tdb,sync
26,100,0.8702230453491211,Mg-Zn.tdb,sync
27,100,0.889456033706665,Mg-Zn.tdb,sync
28,200,1.5843558311462402,Mg-Zn.tdb,sync
29,200,1.6049370765686035,Mg-Zn.tdb,sync
30,500,3.6310770511627197,Mg-Zn.tdb,sync
31,500,3.5882129669189453,Mg-Zn.tdb,sync
32,1000,7.235614061355591,Mg-Zn.tdb,sync
33,1000,7.731104135513306,Mg-Zn.tdb,sync
34,2000,16.398864030838013,Mg-Zn.tdb,sync
35,2000,16.215081214904785,Mg-Zn.tdb,sync
36,5000,42.0800461769104,Mg-Zn.tdb,sync
37,5000,41.63790512084961,Mg-Zn.tdb,sync
38,10000,94.45840120315552,Mg-Zn.tdb,sync
39,10000,96.7097179889679,Mg-Zn.tdb,sync
40,10,2.3089170455932617,Mg-Zn.tdb,client
41,10,0.2502939701080322,Mg-Zn.tdb,client
42,20,0.32808613777160645,Mg-Zn.tdb,client
43,20,0.31451892852783203,Mg-Zn.tdb,client
44,50,0.5395820140838623,Mg-Zn.tdb,client
45,50,0.5596251487731934,Mg-Zn.tdb,client
46,100,0.91286301612854,Mg-Zn.tdb,client
47,100,0.9144301414489746,Mg-Zn.tdb,client
48,200,2.169811964035034,Mg-Zn.tdb,client
49,200,1.6250689029693604,Mg-Zn.tdb,client
50,500,2.8644490242004395,Mg-Zn.tdb,client
51,500,3.1776809692382812,Mg-Zn.tdb,client
52,1000,5.836591005325317,Mg-Zn.tdb,client
53,1000,6.015661001205444,Mg-Zn.tdb,client
54,2000,11.418688774108887,Mg-Zn.tdb,client
55,2000,11.436407089233398,Mg-Zn.tdb,client
56,5000,31.945756912231445,Mg-Zn.tdb,client
57,5000,31.85851287841797,Mg-Zn.tdb,client
58,10000,75.03345513343811,Mg-Zn.tdb,client
59,10000,82.52793383598328,Mg-Zn.tdb,client
60,10,0.6444220542907715,Cu-Zr_sau.tdb,muliprocessing
